ID_Observacao,Estudo,Pais_Estudo,Status_Metabolico,Sexo_Animal,Peso_Corporal_kg,Consumo_MS_kg,Fracao_Perda_A,Modelo,MAPE,MAPE_log,MAPE_boxcox
0,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.35,0.0203038674,Modelo_1,0.463267945533497,-0.769449676232392,-0.676177599126302
0,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.35,0.0203038674,Modelo_2,0.319869948490913,-1.13984077676158,-0.943211505801439
0,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.35,0.0203038674,Modelo_3,0.374635069512696,-0.981802874793773,-0.833414310676266
0,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.35,0.0203038674,Modelo_4,0.13035752577688,-2.03747440511864,-1.46544724917511
0,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.35,0.0203038674,Modelo_5,0.287022183976341,-1.24819577012489,-1.0151206639282
1,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.7,0.02127071823,Modelo_1,0.405665475101837,-0.902226411967353,-0.775831200668986
1,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.7,0.02127071823,Modelo_2,0.263184024025272,-1.33490178036536,-1.07076598210292
1,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.7,0.02127071823,Modelo_3,0.351648360212819,-1.04512357936192,-0.878123273342367
1,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.7,0.02127071823,Modelo_4,0.101806052040901,-2.28468572632927,-1.58317264172766
1,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.7,0.02127071823,Modelo_5,0.262544319976723,-1.33733537319543,-1.07230400801559
2,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.36,0.02033149171,Modelo_1,0.243768779022125,-1.41153512992972,-1.11858631087609
2,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.36,0.02033149171,Modelo_2,0.121758057907676,-2.10571933516289,-1.49895137277063
2,Estudo_AF,Grandvale,Terminação,Boi,362.0,7.36,0.02033149171,Modelo_3,0.212482501365747,-1.54889564052246,-1.20121400123817
